pose_landmarking_mem.committed_Committed_AS,pose_landmarking_system.active_processes_active,pose_landmarking_system.cpu_user,pose_landmarking_system.file_nr_used_used,pose_landmarking_system.processes_running,pose_landmarking_system.ram_buffers,pose_landmarking_system.ram_cached,pose_landmarking_system.ram_free,pose_landmarking_system.ram_used,Target
31832.56,1666,10.486577,15317,4,52.65234,1642.2383,195.3125,4900.891,6
31832.65,1665,10.00841,15349,10,52.65234,1642.2383,194.3047,4901.898,6
31834.48,1666,10.252101,15349,5,52.66016,1642.2383,191.8281,4904.367,6
31832.65,1665,9.756098,15349,4,52.66016,1642.2383,188.7266,4907.469,6
31834.62,1666,10.243493,15349,5,52.66016,1642.2383,190.6055,4905.59,6
31832.84,1665,10.428932,15317,4,52.66016,1642.2422,193.6875,4902.504,6
31832.84,1665,10.050251,15317,4,52.66016,1642.2422,197.707,4898.484,6
31834.55,1666,9.924306,15285,6,52.66797,1642.2422,196.2891,4899.895,6
31832.85,1665,10.202361,15253,4,52.66797,1642.2422,208.2188,4887.965,6
31834.57,1666,9.891031,15285,5,52.66797,1642.2461,210.0195,4886.16,6
31832.76,1665,10.681245,15253,4,52.66797,1642.25,203.4414,4892.734,6
31832.78,1665,9.655751,15253,4,52.67578,1642.3477,203.1953,4892.875,6
32056.5,1665,10.168067,15253,6,52.67578,1642.25,199.1875,4896.98,6
31835.9,1665,10.933558,15285,4,52.67578,1642.2539,194.1484,4902.016,6
31835.9,1665,9.579832,15317,4,52.67578,1642.2539,204.957,4891.207,6
31832.84,1665,10.989933,15317,4,52.67578,1642.2578,200.4219,4895.738,6
31832.84,1665,9.840202,15285,4,52.68359,1642.25,204.9648,4891.195,6
31834.56,1666,10.353535,15285,5,52.68359,1642.2578,201.0469,4895.105,6
31832.84,1665,9.747899,15285,4,52.68359,1642.3828,194.6328,4901.395,6
31832.84,1665,10.151007,15285,4,52.68359,1642.3828,202.6719,4893.355,6
31832.81,1665,10.579345,15317,4,52.68359,1642.3867,207.0938,4888.93,6
31832.82,1664,10.168067,15285,17,52.68359,1642.3867,204.5938,4891.43,6
31972.35,1667,10.168067,15285,7,52.72266,1642.3945,199.918,4896.059,6
31832.83,1664,9.907641,15285,4,52.72266,1642.3867,213.5703,4882.414,6
31832.83,1665,10.0,15317,4,52.72266,1642.3867,213.5,4882.484,6
31834.88,1666,10.446504,15317,5,52.72266,1642.3906,202.6602,4893.32,6
31832.91,1665,9.974853,15349,4,52.72266,1642.3906,209.7422,4886.238,6
31834.89,1666,10.142498,15349,5,52.73047,1642.3906,199.7695,4896.203,6
31832.91,1665,10.176619,15381,4,52.73047,1642.3906,200.5195,4895.453,6
31832.91,1665,9.815436,15349,4,52.73047,1642.3945,203.0938,4892.875,6
31834.52,1666,10.840336,15349,5,52.73047,1642.3945,199.6719,4896.297,6
