gesture_recognition_mem.committed_Committed_AS,gesture_recognition_system.active_processes_active,gesture_recognition_system.cpu_user,gesture_recognition_system.file_nr_used_used,gesture_recognition_system.processes_running,gesture_recognition_system.ram_buffers,gesture_recognition_system.ram_cached,gesture_recognition_system.ram_free,gesture_recognition_system.ram_used,Target
26592.12,1580,28.45118,14880,5,30.69531,1797.195,271.4453,4691.758,5
26592.36,1581,15.630252,14848,8,30.69531,1797.195,268.043,4695.16,5
26592.38,1581,31.95616,14880,5,30.69531,1797.207,241.9375,4721.254,5
26592.38,1582,14.24979,14880,5,30.69531,1797.207,267.6836,4695.508,5
26596.34,1583,9.856782,14848,4,30.70312,1797.211,281.5547,4681.625,5
26596.34,1583,29.52623,14848,8,30.70312,1797.273,232.0195,4731.098,5
26593.28,1583,12.905983,14848,3,30.70312,1797.273,274.1445,4688.973,5
26612.22,1585,12.319456,14880,3,30.70312,1797.277,304.6914,4658.422,5
26592.93,1583,27.60684,14848,4,30.70312,1797.281,243.3359,4719.773,5
26601.46,1587,32.73504,14848,5,30.71094,1797.301,224.1914,4738.891,5
26609.84,1585,29.88898,14848,10,30.58594,1795.141,292.793,4672.574,5
26601.89,1585,24.12617,14880,15,30.58594,1795.152,272.375,4692.98,5
26607.45,1585,34.35374,14912,9,30.58594,1795.176,237.8242,4727.508,5
26599.73,1584,24.0,14880,6,30.58594,1795.184,220.457,4744.867,5
26612.51,1586,22.29787,14880,5,30.59375,1795.199,212.2188,4753.082,5
26603.92,1584,23.89456,14880,6,30.59375,1795.215,220.4336,4744.852,5
26607.76,1585,19.33842,14880,8,30.59375,1795.383,208.2383,4756.879,5
26855.89,1585,33.41837,14848,4,30.72266,1796.523,227.2969,4736.551,5
26608.39,1586,12.944162,14848,6,30.73438,1796.633,255.0156,4708.711,5
26604.26,1585,9.519798,14848,4,30.74219,1797.207,291.8828,4671.262,5
26605.98,1586,11.148649,14848,5,30.74219,1797.207,291.9258,4671.219,5
26695.84,1591,12.394604,14848,7,30.74219,1797.211,292.6758,4670.465,5
26595.27,1584,13.513514,14816,6,30.74219,1797.211,276.6562,4686.484,5
26596.99,1585,20.0,14848,4,30.74219,1797.457,292.9297,4669.965,5
26592.16,1584,10.22632,14848,14,30.75,1797.449,288.6953,4674.199,5
26592.75,1584,10.961214,14816,9,30.75,1797.457,290.5117,4672.375,5
