object_detection_mem.committed_Committed_AS,object_detection_system.active_processes_active,object_detection_system.cpu_user,object_detection_system.file_nr_used_used,object_detection_system.processes_running,object_detection_system.ram_buffers,object_detection_system.ram_cached,object_detection_system.ram_free,object_detection_system.ram_used,Target
24490.1,1702,8.732158,15148,3,45.51172,1988.555,334.4727,4422.559,0
24238.16,1701,8.22838,15148,2,45.51172,1988.555,331.9336,4425.098,0
24236.03,1701,6.408094,15180,1,45.51172,1988.605,330.5742,4426.406,0
24237.8,1702,6.73968,15180,3,45.51172,1988.605,335.0117,4421.969,0
24236.08,1701,6.986532,15180,2,45.52734,1988.605,334.6406,4422.324,0
24236.09,1701,7.052897,15212,2,45.52734,1988.605,330.8867,4426.078,0
24488.03,1701,8.585859,15212,3,45.52734,1988.605,331.25,4425.715,0
24236.15,1701,8.593092,15244,2,45.52734,1988.605,333.1758,4423.789,0
24236.09,1701,8.655462,15180,2,45.52734,1988.605,339.9844,4416.98,0
24248.64,1702,7.828283,15212,2,45.53516,1988.605,341.3945,4415.562,0
24236.15,1700,6.968934,15212,1,45.53516,1988.605,345.1445,4411.812,0
24236.15,1700,7.453936,15212,1,45.53516,1988.605,345.0117,4411.945,0
24237.87,1701,7.286432,15244,2,45.53516,1988.605,352.3594,4404.598,0
24236.15,1700,7.130872,15244,2,45.53516,1988.605,356.5352,4400.422,0
24236.15,1700,8.347386,15212,2,45.54297,1988.613,364.0273,4392.914,0
24236.15,1700,7.969799,15212,3,45.54297,1988.613,367.8438,4389.098,0
24239.21,1700,8.838384,15244,2,45.54297,1988.613,370.6758,4386.266,0
24239.22,1700,8.24222,15212,3,45.54297,1988.613,375.2031,4381.738,0
24236.09,1700,7.963118,15212,1,45.54297,1988.613,390.0781,4366.863,0
24235.97,1700,7.017544,15244,1,45.55078,1988.613,391.5078,4365.426,0
24235.98,1700,7.052897,15244,1,45.55078,1988.613,401.5859,4355.348,0
24236.04,1700,6.621961,15244,1,45.55078,1988.613,401.9062,4355.027,0
24236.04,1700,7.969799,15244,2,45.55078,1988.613,399.168,4357.766,0
24235.21,1699,8.270042,15212,2,45.55078,1988.613,399.8594,4357.074,0
24235.21,1699,8.178752,15180,2,45.55078,1988.613,403.0352,4353.898,0
24239.23,1700,8.158116,15180,2,45.55859,1988.613,399.6875,4357.238,0
24239.25,1700,7.082631,15180,2,45.58984,1988.613,400.375,4356.52,0
24239.25,1701,6.627517,15180,2,45.58984,1988.613,400.8125,4356.082,0
24235.24,1700,7.286432,15212,1,45.58984,1988.625,404.2305,4352.652,0
24235.24,1700,9.563758,15180,1,45.78125,1998.32,378.8398,4368.156,0
24235.25,1700,7.969799,15180,3,45.78125,1998.32,384.6289,4362.367,0
24235.25,1700,8.074012,15180,2,45.78125,1998.328,387.5,4359.488,0
24237.09,1701,8.417508,15180,3,45.80469,1998.328,393.6719,4353.293,0
24237.44,1700,8.662742,15212,2,45.82031,1998.328,392.3242,4354.625,0
24235.31,1700,7.795474,15180,1,45.82812,1998.328,392.8359,4354.105,0
24237.02,1701,6.711409,15180,3,45.82812,1998.328,393.4805,4353.461,0
24239.27,1701,6.762468,15180,2,45.82812,1998.328,400.5,4346.441,0
24246.34,1701,6.543624,15180,1,45.82812,1998.328,380.8594,4366.082,0
24246.34,1701,7.892527,15212,3,45.82812,1998.328,381.125,4365.816,0
24239.27,1700,8.235294,15212,3,45.83594,1998.328,380.6367,4366.297,0
24239.27,1700,8.396306,15180,2,45.83594,1998.328,384.0469,4362.887,0
24495.23,1702,8.754209,15148,4,45.83594,1998.328,384.7109,4362.223,0
24243.31,1701,8.549873999999999,15180,2,45.83594,1998.328,379.9961,4366.938,0
24243.31,1701,8.655462,15148,3,45.83594,1998.328,379.832,4367.102,0
24239.3,1700,8.557047,15180,4,45.84375,1998.328,375.3398,4371.586,0
24239.34,1700,8.22838,15180,4,45.84375,1998.328,376.5273,4370.398,0
24239.34,1700,7.932489,15212,4,45.84375,1998.328,380.8203,4366.105,0
24239.33,1694,7.912458,15212,3,45.84375,1998.312,383.6445,4363.297,0
24239.34,1694,9.26706,15180,3,45.84375,1998.312,379.8867,4367.055,0
24241.06,1695,8.403361,15148,5,45.85156,1998.312,381.2461,4365.688,0
24239.21,1694,7.731092,15180,3,45.85156,1998.312,384.7539,4362.18,0
24239.21,1691,6.879195,15180,3,45.85156,1998.312,385.0664,4361.867,0
24490.98,1692,6.896552,15180,3,45.85156,1998.312,385.2461,4361.688,0
24239.04,1691,6.397306,15180,3,45.85156,1998.312,383.5664,4363.367,0
24239.05,1691,6.902357,15180,3,45.85156,1998.312,388.0938,4358.84,0
24244.78,1691,8.326325,15212,5,45.85938,1998.297,388.6211,4358.32,0
24241.07,1690,8.221477,15180,3,45.85938,1998.375,387.5547,4359.309,0
24243.08,1690,9.144295,15180,4,45.85938,1998.375,386.4922,4360.371,0
24243.5,1690,8.480269,15180,3,45.85938,1998.383,389.7422,4357.113,0
24241.77,1689,6.951424,15180,3,45.875,1998.383,387.9844,4358.855,0
24243.9,1690,6.73968,15212,3,45.88281,1998.387,375.4102,4371.418,0
24492.18,1690,6.823926,15244,4,45.88281,1998.387,374.0352,4372.793,0
24241.78,1690,6.31845,15212,2,45.88281,1998.609,377.5234,4369.082,0
24241.84,1690,6.655434,15244,3,45.88281,1998.609,379.9609,4366.645,0
24242.45,1691,6.560135,15244,3,45.88281,1998.609,384.4492,4362.156,0
24241.84,1690,6.873428,15308,2,45.89062,1998.609,381.0859,4365.512,0
24341.31,1696,7.035176,15276,3,45.89062,1998.609,378.3203,4368.277,0
24241.85,1690,8.564232,15244,3,45.89062,1998.672,380.7773,4365.758,0
24241.85,1690,8.64094,15244,3,45.89062,1998.672,380.6094,4365.926,0
24241.85,1690,8.340354,15276,3,45.89062,1998.672,383.7539,4362.781,0
24271.9,1691,8.396306,15276,4,45.89844,1998.672,383.7812,4362.746,0
24241.87,1690,7.148865,15276,2,45.89844,1998.672,384.5352,4361.992,0
24241.87,1690,6.47603,15244,2,45.89844,1998.672,378.7773,4367.75,0
24241.74,1690,6.565657,15244,2,45.89844,1998.672,381.082,4365.445,0
24241.75,1690,6.627517,15244,2,45.89844,1998.672,379.3398,4367.188,0
24241.77,1690,8.466052,15244,3,45.89844,1998.672,383.1641,4363.363,0
24246.66,1691,8.571429,15244,4,45.90625,1998.672,378.7344,4367.785,0
24244.95,1690,8.340354,15244,3,45.90625,1998.672,382.168,4364.352,0
