idle1_rpi_mem.committed_Committed_AS,idle1_rpi_system.active_processes_active,idle1_rpi_system.cpu_user,idle1_rpi_system.file_nr_used_used,idle1_rpi_system.processes_running,idle1_rpi_system.ram_buffers,idle1_rpi_system.ram_cached,idle1_rpi_system.ram_free,idle1_rpi_system.ram_used,Target
3328.043,415,1.0,4256,2,12.5,214.8008,186.6289,493.1992,5
3328.043,415,1.2468828,4256,2,12.5,214.8008,186.6289,493.1992,5
3328.043,415,1.5075377,4256,2,12.5,214.8008,186.6289,493.1992,5
3328.043,415,1.2531328,4256,2,12.5,214.8008,186.4102,493.418,5
3328.043,415,2.512563,4256,2,12.5,214.8008,186.1641,493.6641,5
3328.043,415,1.4962594,4256,2,12.5,214.8008,186.3594,493.4688,5
3328.043,415,2.0,4256,2,12.515625,214.8008,185.918,493.8945,5
3328.043,415,1.2531328,4256,3,12.515625,214.8008,185.918,493.8945,5
3328.043,415,1.2468828,4256,3,12.515625,214.8008,185.918,493.8945,5
3328.043,415,2.015113,4256,2,12.515625,214.8008,185.918,493.8945,5
3328.043,415,1.2437811,4256,3,12.515625,214.8008,185.918,493.8945,5
3328.043,415,0.2506266,4256,2,12.515625,214.8008,185.918,493.8945,5
3328.043,415,1.0025063,4256,2,12.515625,214.8008,185.918,493.8945,5
3328.043,415,1.2531328,4256,2,12.515625,214.8008,186.1641,493.6484,5
3328.043,415,1.2562814,4256,2,12.515625,214.8008,186.1641,493.6484,5
3328.043,415,2.743142,4256,2,12.515625,214.8008,186.1641,493.6484,5
3328.043,415,1.2531328,4256,2,12.515625,214.8008,186.1641,493.6484,5
3328.043,415,1.2531328,4256,2,12.515625,214.8008,186.6562,493.1562,5
3328.043,415,1.2531328,4256,2,12.515625,214.8008,186.6562,493.1562,5
3328.043,415,1.2531328,4256,2,12.515625,214.8008,186.6562,493.1562,5
3328.043,415,2.0,4256,2,12.515625,214.8008,186.6562,493.1562,5
3328.043,415,1.5037594,4256,2,12.515625,214.8008,186.4102,493.4023,5
3328.043,415,1.5,4256,2,12.515625,214.8008,186.4102,493.4023,5
3328.043,415,1.25,4256,2,12.515625,214.8008,186.4102,493.4023,5
3328.043,415,1.2531328,4256,2,12.515625,214.8008,186.1641,493.6484,5
3328.043,415,0.7518796999999999,4256,3,12.515625,214.8008,186.1641,493.6484,5
3328.043,415,1.4962594,4256,2,12.515625,214.8008,185.918,493.8945,5
3328.043,415,1.0025063,4256,2,12.515625,214.8008,185.918,493.8945,5
3328.043,415,1.5037594,4256,3,12.515625,214.8008,185.918,493.8945,5
3328.043,415,1.2562814,4256,2,12.515625,214.8008,185.6719,494.1406,5
3328.043,415,0.9975062,4256,2,12.515625,214.8008,185.6719,494.1406,5
3328.043,415,2.506266,4256,2,12.515625,214.8008,185.8672,493.9453,5
3328.043,415,1.2562814,4256,2,12.515625,214.8008,185.918,493.8945,5
3328.043,415,1.25,4256,2,12.515625,214.8008,185.918,493.8945,5
3328.043,415,1.2531328,4256,2,12.515625,214.8008,185.918,493.8945,5
3328.043,415,1.25,4256,2,12.515625,214.8008,185.918,493.8945,5
3327.305,415,2.0,4224,2,12.515625,214.8008,185.918,493.8945,5
3328.043,416,1.0050251,4256,3,12.523438,214.793,185.1797,494.6328,5
