audio_classification_mem.committed_Committed_AS,audio_classification_system.active_processes_active,audio_classification_system.cpu_user,audio_classification_system.file_nr_used_used,audio_classification_system.processes_running,audio_classification_system.ram_buffers,audio_classification_system.ram_cached,audio_classification_system.ram_free,audio_classification_system.ram_used,Target
24650.16,1497.0,2.268908,12822.0,3.0,89.08203,2435.164,757.8516,3509.0,4
24647.54,1494.0,2.186712,12790.0,2.0,89.08984,2435.172,756.4883,3510.348,4
24647.06,1493.0,2.097315,12758.0,1.0,89.08984,2435.172,756.207,3510.629,4
24647.06,1493.0,2.013423,12790.0,1.0,89.08984,2435.172,754.4453,3512.391,4
24647.06,1493.0,2.268908,12790.0,2.0,89.08984,2435.176,753.8477,3512.984,4
24689.88,1493.0,2.871622,12854.0,2.0,89.08984,2435.176,757.3828,3509.449,4
24647.68,1494.0,2.441077,12854.0,4.0,89.09766,2435.176,758.4766,3508.348,4
24648.79,1494.0,3.117102,12758.0,2.0,89.09766,2435.176,755.3867,3511.438,4
24647.09,1493.0,2.095557,12790.0,1.0,89.09766,2435.176,756.4102,3510.414,4
24647.09,1493.0,2.018503,12822.0,1.0,89.09766,2435.176,758.668,3508.156,4
24647.09,1493.0,2.348993,12822.0,2.0,89.09766,2435.176,757.1797,3509.645,4
24648.81,1494.0,2.177554,12822.0,2.0,89.10547,2435.18,756.7305,3510.082,4
24648.47,1494.0,2.10084,12854.0,3.0,89.11328,2435.168,754.5273,3512.289,4
24647.09,1493.0,2.184874,12822.0,1.0,89.11328,2435.168,753.4531,3513.363,4
24652.21,1493.0,2.773109,12822.0,2.0,89.11328,2435.168,751.3398,3515.477,4
24652.09,1493.0,2.859546,12822.0,1.0,89.11328,2435.168,751.75,3515.066,4
24653.95,1494.0,2.436975,12854.0,3.0,89.11328,2435.168,754.6367,3512.18,4
24681.64,1493.0,3.195963,12854.0,2.0,89.12109,2435.168,753.7266,3513.082,4
24647.12,1493.0,2.097315,12790.0,2.0,89.12109,2435.168,757.0664,3509.742,4
24647.12,1493.0,2.01005,12822.0,1.0,89.12109,2435.168,757.7695,3509.039,4
24647.12,1493.0,2.095557,12758.0,1.0,89.12109,2435.168,758.5352,3508.273,4
24647.12,1493.0,2.015113,12758.0,1.0,89.12109,2435.168,758.4688,3508.34,4
24902.55,1494.0,1.93115,12758.0,3.0,89.12891,2435.168,757.9648,3508.836,4
24648.83,1494.0,2.267003,12758.0,2.0,89.12891,2435.168,758.8945,3507.906,4
24647.12,1493.0,2.693603,12758.0,2.0,89.12891,2435.168,762.4805,3504.32,4
24647.12,1493.0,2.787162,12790.0,1.0,89.13672,2435.168,759.4375,3507.355,4
24647.12,1493.0,2.684564,12790.0,1.0,89.13672,2435.168,758.2188,3508.574,4
24653.55,1494.0,16.511431,12822.0,5.0,89.14453,2435.18,747.8477,3518.926,4
24662.26,1495.0,4.96633,12822.0,2.0,89.14453,2435.18,733.3828,3533.391,4
24659.38,1491.0,2.362869,12854.0,1.0,89.14453,2435.18,737.5898,3529.184,4
24659.38,1492.0,2.10084,12790.0,1.0,89.14453,2435.18,737.0039,3529.77,4
24651.32,1492.0,1.847187,12790.0,1.0,89.14453,2435.18,747.3281,3519.445,4
24906.75,1494.0,2.013423,12822.0,2.0,89.14453,2435.18,749.1094,3517.664,4
24649.02,1487.0,2.184874,12822.0,2.0,89.15234,2435.184,749.0195,3517.742,4
24649.28,1487.0,2.684564,12854.0,4.0,89.15234,2435.184,751.1445,3515.617,4
24645.31,1486.0,2.938707,12854.0,1.0,89.15234,2435.191,757.5,3509.254,4
24647.31,1486.0,2.347024,12790.0,2.0,89.15234,2435.195,754.2773,3512.473,4
24649.06,1489.0,2.691337,12822.0,2.0,89.15234,2435.195,755.043,3511.707,4
24649.2,1487.0,2.356902,12790.0,2.0,89.16016,2435.195,754.3984,3512.344,4
24648.93,1487.0,2.184874,12790.0,2.0,89.17578,2435.195,753.7031,3513.023,4
24647.22,1486.0,2.356902,12726.0,1.0,89.17578,2435.195,755.1797,3511.547,4
24647.22,1486.0,2.015113,12758.0,1.0,89.17578,2435.195,752.1055,3514.621,4
24647.22,1486.0,2.013423,12758.0,1.0,89.17578,2435.195,751.6953,3515.031,4
24648.94,1487.0,1.93115,12790.0,2.0,89.17578,2435.195,749.8047,3516.922,4
24649.2,1487.0,2.684564,12822.0,3.0,89.18359,2435.195,756.8008,3509.918,4
24647.22,1485.0,2.780118,12790.0,1.0,89.18359,2435.195,755.0078,3511.711,4
24647.22,1485.0,2.181208,12822.0,2.0,89.18359,2435.195,750.957,3515.762,4
24647.22,1485.0,2.94365,12822.0,1.0,89.18359,2435.195,753.2227,3513.496,4
24649.14,1486.0,2.183039,12822.0,2.0,89.18359,2435.195,752.625,3514.094,4
24648.89,1486.0,2.097315,12822.0,2.0,89.19141,2435.195,753.6992,3513.012,4
24647.18,1485.0,2.184874,12822.0,1.0,89.19141,2435.195,753.5742,3513.137,4
24647.18,1485.0,1.682086,12822.0,1.0,89.19141,2435.195,753.0977,3513.613,4
24647.18,1485.0,2.013423,12822.0,1.0,89.19141,2435.195,752.3828,3514.328,4
24648.97,1486.0,2.183039,12822.0,2.0,89.19141,2435.195,753.8672,3512.844,4
24649.22,1486.0,2.693603,12790.0,4.0,89.19922,2435.195,755.9688,3510.734,4
24647.25,1485.0,2.866779,12758.0,1.0,89.19922,2435.195,754.5469,3512.156,4
24647.25,1485.0,2.348993,12758.0,2.0,89.19922,2435.195,753.832,3512.871,4
24647.32,1485.0,2.613828,12758.0,1.0,89.21484,2435.195,751.6211,3515.066,4
24859.31,1485.0,2.013423,12854.0,2.0,89.23047,2435.195,750.7969,3515.875,4
24649.04,1486.0,2.270816,12886.0,2.0,89.23047,2435.195,749.6211,3517.051,4
24649.25,1486.0,2.345059,12854.0,2.0,89.23047,2435.195,751.8242,3514.848,4
24647.28,1485.0,2.097315,12822.0,1.0,89.23047,2435.195,754.0664,3512.605,4
24647.29,1482.0,2.099076,12854.0,1.0,89.23047,2435.199,750.0703,3516.598,4
24647.29,1482.0,1.847187,12854.0,1.0,89.23828,2435.199,751.4805,3515.18,4
24676.75,1482.0,2.611626,12854.0,2.0,89.24609,2435.199,753.3945,3513.258,4
24649.0,1479.0,3.037975,12790.0,2.0,89.24609,2435.203,750.125,3516.523,4
24647.29,1478.0,2.616034,12822.0,2.0,89.24609,2435.203,751.2617,3515.387,4
24647.29,1478.0,2.691337,12790.0,2.0,89.24609,2435.203,749.0938,3517.555,4
24647.29,1478.0,1.93115,12790.0,1.0,89.24609,2435.203,748.6719,3517.977,4
24649.14,1479.0,2.348993,12822.0,2.0,89.25391,2435.207,750.9805,3515.656,4
24871.2,1478.0,2.523129,12790.0,2.0,89.25391,2435.207,751.9102,3514.727,4
24647.38,1478.0,2.265101,12822.0,2.0,89.25391,2435.207,752.3516,3514.285,4
24647.38,1478.0,1.845638,12790.0,1.0,89.25391,2435.207,752.3359,3514.301,4
24647.63,1478.0,2.011735,12822.0,1.0,89.26172,2435.207,751.9258,3514.703,4
24653.98,1482.0,2.854744,12822.0,4.0,89.26172,2435.207,749.1016,3517.527,4
24652.68,1479.0,3.201348,12790.0,2.0,89.26172,2435.207,753.6055,3513.023,4
24674.62,1479.0,3.939648,12790.0,2.0,89.26172,2435.219,729.6445,3536.973,4
24674.62,1479.0,2.869198,12790.0,1.0,89.26172,2435.219,729.7734,3536.844,4
24674.62,1480.0,2.023609,12758.0,1.0,89.26953,2435.219,727.3125,3539.297,4
24930.05,1481.0,2.095557,12790.0,2.0,89.26953,2435.219,722.168,3544.441,4
24655.14,1481.0,2.439024,12790.0,3.0,89.26953,2435.219,733.5156,3533.094,4
24653.3,1480.0,1.934399,12822.0,1.0,89.26953,2435.219,736.0703,3530.539,4
24653.3,1480.0,2.015113,12822.0,1.0,89.26953,2435.219,735.1875,3531.422,4
24653.38,1480.0,1.93115,12790.0,1.0,89.27734,2435.219,737.9453,3528.656,4
24677.77,1481.0,2.10084,12822.0,3.0,89.27734,2435.219,743.3867,3523.215,4
24650.03,1481.0,3.035413,12822.0,2.0,89.27734,2435.219,746.6133,3519.988,4
24648.3,1480.0,2.946128,12854.0,2.0,89.27734,2435.219,747.1914,3519.41,4
24646.3,1480.0,3.117102,12854.0,2.0,89.28516,2435.227,745.3398,3521.246,4
24650.43,1480.0,2.512563,12822.0,1.0,89.28516,2435.23,744.6367,3521.945,4
24650.03,1481.0,2.099076,12790.0,2.0,89.28516,2435.23,745.0234,3521.559,4
24677.78,1481.0,2.177554,12790.0,2.0,89.28516,2435.23,748.1289,3518.453,4
24648.32,1480.0,2.434929,12822.0,1.0,89.28516,2435.23,748.0898,3518.492,4
24648.41,1480.0,1.924686,12790.0,1.0,89.29297,2435.234,748.3633,3518.207,4
24648.41,1480.0,1.926298,12822.0,1.0,89.29297,2435.234,746.6406,3519.93,4
24654.15,1482.0,2.516779,12822.0,4.0,89.29297,2435.234,748.1484,3518.422,4
24654.27,1481.0,3.212172,12790.0,2.0,89.29297,2435.234,745.9141,3520.656,4
24652.43,1480.0,2.352941,12790.0,2.0,89.30078,2435.234,748.4258,3518.137,4
24646.42,1479.0,2.698145,12758.0,1.0,89.30078,2435.246,747.1367,3519.414,4
24648.43,1479.0,2.181208,12822.0,1.0,89.30078,2435.246,748.3906,3518.16,4
24899.05,1479.0,1.934399,12790.0,2.0,89.30078,2435.246,744.2305,3522.32,4
24650.13,1480.0,2.521008,12790.0,2.0,89.30078,2435.246,745.3633,3521.188,4
24650.39,1480.0,2.265101,12822.0,2.0,89.30078,2435.246,744.0156,3522.535,4
24648.3,1479.0,2.263202,12790.0,1.0,89.32422,2435.25,743.5898,3522.934,4
24648.31,1479.0,1.932773,12790.0,1.0,89.32422,2435.25,745.6211,3520.902,4
24648.32,1479.0,2.35492,12790.0,2.0,89.32422,2435.25,745.0742,3521.449,4
24650.03,1480.0,3.035413,12790.0,3.0,89.32422,2435.25,751.6914,3514.832,4
24650.16,1480.0,2.441077,12758.0,4.0,89.34766,2435.238,749.4258,3517.086,4
24647.5,1478.0,3.201348,12790.0,1.0,89.34766,2435.238,749.0898,3517.422,4
24647.5,1478.0,1.848739,12790.0,1.0,89.34766,2435.238,744.6602,3521.852,4
24648.09,1479.0,1.934399,12790.0,1.0,89.34766,2435.238,744.6172,3521.895,4
24649.09,1480.0,2.181208,12822.0,2.0,89.34766,2435.238,745.9609,3520.551,4
24649.93,1480.0,2.268908,12822.0,2.0,89.35547,2435.238,748.8828,3517.621,4
24648.09,1479.0,1.926298,12822.0,1.0,89.35547,2435.238,749.5664,3516.938,4
24648.1,1479.0,2.099076,12854.0,2.0,89.35547,2435.238,746.9766,3519.527,4
24648.47,1479.0,2.267003,12854.0,3.0,89.35547,2435.238,745.9766,3520.527,4
24904.87,1482.0,2.94365,12822.0,4.0,89.35547,2435.238,746.1641,3520.34,4
24650.31,1480.0,2.847571,12790.0,3.0,89.37891,2435.238,746.4219,3520.059,4
24648.48,1479.0,3.030303,12790.0,2.0,89.37891,2435.238,749.125,3517.355,4
24648.48,1479.0,1.93115,12758.0,1.0,89.37891,2435.238,746.7383,3519.742,4
24648.48,1479.0,1.93115,12758.0,1.0,89.37891,2435.238,746.6133,3519.867,4
24862.09,1479.0,2.521008,12790.0,2.0,89.37891,2435.238,747.3984,3519.082,4
24651.1,1480.0,2.093802,12790.0,2.0,89.37891,2435.242,744.9883,3521.488,4
24649.39,1479.0,2.093802,12822.0,1.0,89.38672,2435.242,744.8086,3521.66,4
24649.39,1479.0,1.767677,12790.0,2.0,89.38672,2435.242,745.0312,3521.438,4
24649.34,1479.0,2.523129,12790.0,2.0,89.38672,2435.242,743.8359,3522.633,4
24651.27,1480.0,2.961083,12790.0,3.0,89.38672,2435.242,748.8516,3517.617,4
24904.85,1480.0,2.350966,12758.0,3.0,89.38672,2435.242,748.0352,3518.434,4
24649.42,1479.0,3.035413,12790.0,2.0,89.39453,2435.242,747.8242,3518.637,4
24649.42,1479.0,2.013423,12758.0,1.0,89.39453,2435.242,750.3789,3516.082,4
24649.42,1479.0,1.848739,12726.0,3.0,89.39453,2435.246,749.9766,3516.48,4
24651.15,1480.0,2.432886,12758.0,2.0,89.39453,2435.246,748.4023,3518.055,4
24651.41,1480.0,2.350966,12758.0,2.0,89.39453,2435.246,750.6133,3515.844,4
24649.43,1479.0,2.097315,12758.0,1.0,89.41797,2435.246,746.1758,3520.258,4
24649.43,1479.0,1.927913,12790.0,1.0,89.41797,2435.246,747.0156,3519.418,4
24649.43,1479.0,2.184874,12726.0,3.0,89.41797,2435.246,748.582,3517.852,4
24651.15,1480.0,3.280067,12790.0,4.0,89.42578,2435.246,749.0664,3517.359,4
24651.29,1480.0,4.037006,12790.0,3.0,89.42578,2435.246,748.3672,3518.059,4
24652.71,1479.0,3.291139,12822.0,2.0,89.42578,2435.246,743.9023,3522.523,4
24652.71,1479.0,1.761745,12854.0,1.0,89.42578,2435.246,740.9062,3525.52,4
24652.71,1479.0,1.761745,12822.0,1.0,89.42578,2435.246,740.0898,3526.336,4
24908.14,1480.0,2.186712,12790.0,2.0,89.43359,2435.246,740.6758,3525.742,4
24651.18,1480.0,2.016807,12854.0,2.0,89.43359,2435.543,743.2617,3522.859,4
24649.46,1479.0,1.926298,12854.0,1.0,89.43359,2435.543,742.1758,3523.945,4
24649.46,1479.0,2.17938,12886.0,1.0,89.43359,2435.543,742.8359,3523.285,4
24649.46,1479.0,2.272727,12854.0,2.0,89.43359,2435.543,743.457,3522.664,4
