face_detection_mem.committed_Committed_AS,face_detection_system.active_processes_active,face_detection_system.cpu_user,face_detection_system.file_nr_used_used,face_detection_system.processes_running,face_detection_system.ram_buffers,face_detection_system.ram_cached,face_detection_system.ram_free,face_detection_system.ram_used,Target
24946.74,1661.0,25.42373,14678.0,18.0,78.07422,2093.57,227.2344,4392.219,4
24947.87,1661.0,29.42177,14678.0,17.0,78.54297,2123.406,164.06641,4425.082,4
24950.11,1661.0,29.3469,14678.0,17.0,79.48047,2186.711,132.88672,4392.02,4
24855.4,1659.0,23.81757,14678.0,16.0,80.26562,2220.262,196.5078,4294.062,4
24857.95,1660.0,20.03367,14710.0,16.0,81.26953,2257.824,158.26562,4293.738,4
24854.69,1661.0,20.42373,14678.0,19.0,84.04688,2238.137,158.57031,4310.344,4
24857.81,1662.0,22.7388,14614.0,17.0,84.66016,2209.855,196.6797,4299.902,4
24855.39,1662.0,20.52811,14646.0,18.0,85.76953,2137.168,289.7812,4278.379,4
24855.59,1661.0,11.42132,14646.0,15.0,86.22266,2137.195,307.0938,4260.586,4
24852.09,1661.0,9.564475,14646.0,17.0,86.22266,2137.168,296.0195,4271.688,4
24852.33,1661.0,6.990622,14678.0,14.0,86.22266,2137.227,292.5742,4275.074,4
24854.22,1661.0,8.15633,14646.0,17.0,86.65234,2119.293,324.4336,4260.719,4
24854.2,1662.0,7.986406,14646.0,16.0,86.65234,2119.309,306.4766,4278.66,4
25013.46,1661.0,8.298052,14678.0,15.0,86.65234,2102.422,310.6094,4291.414,4
24862.64,1662.0,6.016949,14678.0,14.0,86.65625,2085.629,317.5273,4301.285,4
24861.64,1662.0,7.86802,14646.0,22.0,86.91797,2085.66,331.0703,4287.449,4
24863.08,1662.0,9.213863,14646.0,13.0,86.94141,2069.703,360.7266,4273.727,4
24863.11,1662.0,7.457627,14646.0,13.0,86.94141,2053.848,402.6328,4247.676,4
24859.71,1662.0,6.598985,14710.0,13.0,86.94141,2039.043,428.0312,4237.082,4
24861.48,1663.0,5.063291,14710.0,10.0,86.94141,2013.648,469.2422,4221.266,4
24855.41,1663.0,12.774958,14710.0,22.0,86.94141,2000.551,467.9609,4235.645,4
25095.5,1662.0,9.183673,14710.0,17.0,86.94922,1987.895,500.5859,4215.668,4
24856.43,1662.0,8.319185,14710.0,9.0,86.94922,1979.801,486.082,4238.266,4
24864.42,1660.0,6.486942,14742.0,8.0,81.32031,1892.953,611.918,4204.906,4
24866.69,1660.0,15.540541,14742.0,19.0,81.45312,1892.969,627.6289,4189.047,4
24866.56,1660.0,6.065712,14742.0,16.0,81.45312,1892.953,643.125,4173.566,4
24856.87,1660.0,5.063291,14678.0,18.0,81.46094,1893.059,661.832,4154.746,4
24858.6,1661.0,5.240913,14678.0,14.0,81.46094,1893.07,668.0312,4148.535,4
24843.55,1661.0,8.828523,14614.0,18.0,81.46094,1893.367,676.7188,4139.551,4
25111.55,1661.0,6.820119,14678.0,17.0,81.59375,1893.746,651.6445,4164.113,4
24865.82,1659.0,6.086221,14678.0,15.0,72.28125,1803.395,752.3945,4163.027,4
