hand_landmarking_mem.committed_Committed_AS,hand_landmarking_system.active_processes_active,hand_landmarking_system.cpu_user,hand_landmarking_system.file_nr_used_used,hand_landmarking_system.processes_running,hand_landmarking_system.ram_buffers,hand_landmarking_system.ram_cached,hand_landmarking_system.ram_free,hand_landmarking_system.ram_used,Target
30608.36,1639,8.171862,15157,3,62.05859,1950.207,260.5547,4513.543,3
30642.22,1639,7.724601,15189,3,62.05859,1950.207,265.293,4516.242,3
30611.42,1639,7.905803,15189,4,62.05859,1950.207,262.5859,4512.57,3
30840.39,1638,7.905803,15157,3,62.05859,1950.211,266.2578,4512.062,3
30608.36,1639,7.905803,15189,4,62.05859,1950.211,266.7656,4513.461,3
30608.18,1639,7.634228,15189,3,62.06641,1950.211,265.3633,4504.797,3
30610.21,1639,8.593092,15189,4,62.06641,1950.215,274.0273,4514.273,3
30608.23,1640,7.466443,15157,4,62.12891,1950.117,264.543,4517.422,3
30608.23,1639,8.578638,15157,5,62.12891,1950.215,261.3906,4523.762,3
30615.02,1639,8.808724999999999,15125,4,62.12891,1950.215,255.0859,4522.133,3
30615.02,1640,9.831933,15125,4,62.12891,1950.219,256.6172,4517.289,3
30616.88,1640,8.655462,15125,4,62.12891,1950.219,261.4609,4521.273,3
30617.68,1641,11.848739,15125,5,62.13672,1950.223,257.4727,4515.906,3
30616.23,1640,11.868687,15125,4,62.13672,1950.223,262.8398,4509.605,3
30616.23,1639,11.670865,15125,4,62.13672,1950.223,269.1289,4512.332,3
30618.75,1639,11.298482,15125,4,62.13672,1950.234,266.4023,4515.129,3
30620.5,1639,11.457456,15125,4,62.13672,1950.332,263.6055,4506.77,3
30621.41,1640,11.447811,15157,5,62.14453,1950.332,271.9531,4513.789,3
30621.42,1639,11.297071,15125,4,62.14453,1950.457,264.8359,4514.359,3
30624.8,1639,11.418976,15125,4,62.14453,1950.457,264.2578,4519.438,3
30623.23,1642,11.606392,15125,6,62.14453,1950.457,259.0547,4520.887,3
30861.05,1639,11.083123,15157,5,62.18359,1950.449,257.6055,4529.223,3
30670.51,1640,10.97973,15189,5,62.18359,1950.449,249.2695,4527.387,3
30607.41,1639,11.952862,15189,6,62.18359,1950.449,251.0742,4522.684,3
30609.38,1639,13.582343,15189,3,62.18359,1950.449,255.7773,4524.215,3
30607.42,1640,12.098139,15221,5,62.18359,1950.453,254.2461,4526.43,3
30609.37,1639,8.699324,15157,4,62.19141,1950.453,252.0312,4527.492,3
30607.69,1640,8.51602,15157,6,62.19141,1950.676,250.9648,4520.59,3
30611.89,1642,9.113924,15189,5,62.39062,1954.957,257.8594,4523.742,3
30613.6,1641,9.037162,15221,3,62.39062,1962.281,254.4844,4525.359,3
30611.96,1642,9.159664,15189,4,62.39062,1962.301,248.3867,4524.418,3
30608.88,1641,14.611486,15189,4,62.39844,1962.301,242.0039,4519.266,3
30614.3,1640,12.162162,15157,7,62.39844,1962.301,247.1367,4520.945,3
30614.32,1639,7.744108,15125,4,62.39844,1962.301,245.4492,4534.629,3
30864.89,1639,7.394958,15093,3,62.39844,1962.305,231.7656,4547.984,3
30614.11,1639,9.924306,15093,4,62.39844,1962.305,218.4102,4543.457,3
30864.57,1639,9.175084,15125,3,62.40625,1962.305,222.9336,4545.918,3
30614.11,1639,7.472712,15157,4,62.40625,1962.309,220.4727,4546.77,3
30614.11,1639,7.208718,15157,4,62.40625,1962.312,219.6133,4546.434,3
30821.4,1639,7.983193,15157,3,62.40625,1962.312,219.9453,4544.676,3
30614.1,1638,6.884971,15157,4,62.40625,1962.316,221.6992,4547.875,3
30644.03,1638,7.821699,15189,3,62.42188,1962.316,218.5,4534.266,3
30731.45,1641,6.801008,15189,6,62.42969,1962.742,232.1055,4537.082,3
30731.45,1650,7.317073,15221,3,62.42969,1964.391,229.2734,4531.355,3
30730.23,1650,7.070707,15189,3,62.42969,1964.402,234.5664,4536.805,3
30728.21,1651,9.044801,15253,4,62.42969,1964.406,227.4688,4534.867,3
30728.29,1650,12.816189,15221,3,62.4375,1964.406,229.3945,4529.465,3
30702.62,1650,7.304786,15221,3,62.4375,1964.406,234.793,4532.523,3
30703.82,1647,6.850459,15157,6,62.4375,1964.43,231.7266,4535.738,3
30957.82,1647,9.159664,15189,5,62.44141,1964.863,228.5117,4552.379,3
30705.47,1649,7.640638,15221,9,62.57812,1966.461,211.8477,4549.012,3
30793.74,1648,10.286678,15221,5,62.59375,1968.398,214.7773,4549.32,3
30704.26,1653,16.033755,15221,5,62.59375,1968.551,212.7344,4478.285,3
30702.46,1648,16.030534,15221,6,62.59375,1968.555,281.8164,4510.855,3
30704.22,1647,18.61657,15221,8,62.59766,1968.559,249.0938,4528.68,3
30698.65,1648,14.115646,15221,4,62.59766,1968.684,231.2656,4537.895,3
30698.76,1647,15.247019,15221,3,62.60547,1968.688,222.043,4553.84,3
30952.51,1648,15.614334,15221,6,62.62891,1968.746,205.9727,4557.141,3
30698.88,1647,9.268707,15317,5,62.64453,1968.746,202.6602,4561.695,3
30850.48,1646,9.847199,15285,5,62.64453,1968.746,198.0234,4567.367,3
30698.88,1646,9.991533,15253,6,62.64453,1968.746,192.3359,4565.34,3
30698.93,1646,10.632911,15253,4,62.64453,1968.75,194.3633,4566.078,3
30700.91,1647,8.501684000000001,15253,3,62.64453,1968.75,193.625,4569.133,3
30698.93,1648,7.834878,15253,4,62.65234,1968.75,190.5664,4570.609,3
30698.93,1647,8.823529,15253,3,62.65234,1968.754,189.0898,4565.109,3
30702.85,1647,8.403361,15221,3,62.65234,1968.754,194.582,4565.844,3
30702.87,1648,8.333333,15221,3,62.67578,1968.758,193.8438,4572.734,3
30704.62,1648,7.563025,15221,3,62.67578,1968.758,186.9531,4572.898,3
30698.87,1649,8.677338,15221,5,62.67578,1968.762,186.7617,4577.328,3
30698.88,1647,8.347386,15189,3,62.67578,1968.766,182.332,4569.242,3
