face_landmarking_mem.committed_Committed_AS,face_landmarking_system.active_processes_active,face_landmarking_system.cpu_user,face_landmarking_system.file_nr_used_used,face_landmarking_system.processes_running,face_landmarking_system.ram_buffers,face_landmarking_system.ram_cached,face_landmarking_system.ram_free,face_landmarking_system.ram_used,Target
10393.988,1016.0,3.451178,9462,4,79.92188,2777.867,1741.824,2191.473,8
10429.301,1016.0,7.38255,9430,3,79.92188,2777.867,1741.035,2192.262,8
10393.992,1016.0,7.737595,9462,4,79.92188,2777.867,1740.543,2192.754,8
10394.539,1017.0,4.878049,9494,5,79.92188,2777.867,1740.703,2192.594,8
10393.941,1016.0,4.267782,9462,4,79.92188,2777.867,1740.387,2192.91,8
10393.953,1016.0,8.375209,9462,4,79.92969,2777.867,1742.539,2190.758,8
10393.953,1016.0,4.110738,9494,4,79.92969,2777.867,1742.715,2190.574,8
10393.953,1016.0,4.358759,9462,4,79.92969,2777.867,1741.422,2191.867,8
10393.945,1016.0,4.107293,9462,7,79.92969,2777.867,1741.547,2191.742,8
10393.945,1016.0,4.785894,9430,4,79.92969,2777.867,1739.887,2193.402,8
10393.945,1016.0,4.107293,9430,2,79.92969,2777.867,1740.035,2193.254,8
10393.945,1016.0,4.110738,9430,4,79.9375,2777.867,1737.812,2195.477,8
10395.652,1017.0,3.697479,9430,3,79.9375,2777.867,1740.898,2192.383,8
10393.945,1016.0,3.79107,9462,4,79.9375,2777.867,1743.043,2190.238,8
10395.801,1017.0,3.862301,9430,4,79.9375,2777.867,1739.801,2193.48,8
10393.961,1016.0,4.2123,9430,4,79.9375,2777.867,1740.059,2193.223,8
10590.82,1016.0,3.929766,9430,3,79.94531,2777.867,1742.27,2191.012,8
10392.078,1016.0,3.682008,9398,4,79.94531,2777.867,1742.105,2191.168,8
10393.801,1017.0,4.030227,9430,4,79.94531,2777.871,1741.957,2191.316,8
10392.078,1016.0,3.868797,9398,4,79.94531,2777.871,1743.324,2189.945,8
10392.184,1016.0,4.198153,9462,4,79.94531,2777.871,1744.848,2188.422,8
10392.574,1017.0,3.778338,9430,4,79.94531,2777.871,1743.473,2189.797,8
10392.184,1016.0,3.784693,9430,4,79.95312,2777.871,1744.449,2188.82,8
10396.191,1017.0,3.607383,9430,4,79.95312,2777.871,1742.93,2190.332,8
10396.195,1017.0,3.781513,9430,4,79.95312,2777.871,1743.887,2189.375,8
10396.215,1017.0,3.285594,9462,3,79.95312,2777.871,1744.246,2189.016,8
10396.336,1017.0,3.862301,9494,4,79.95312,2777.871,1743.355,2189.906,8
10394.043,1017.0,3.787879,9494,3,79.96094,2777.871,1745.168,2188.094,8
10392.336,1016.0,4.033613,9494,4,79.96094,2777.871,1742.418,2190.836,8
10394.062,1016.0,3.442485,9494,3,79.96094,2777.871,1742.078,2191.176,8
10392.34,1015.0,3.778338,9494,4,79.96094,2777.871,1740.68,2192.574,8
10394.191,1016.0,4.362416,9526,4,79.96094,2777.871,1740.004,2193.25,8
10392.34,1015.0,4.02347,9494,3,79.96094,2777.871,1741.082,2192.172,8
10645.188,1016.0,4.278523,9494,5,79.96875,2777.871,1738.406,2194.848,8
10392.34,1015.0,4.534005,9462,4,79.96875,2777.871,1738.496,2194.75,8
10392.344,1015.0,4.198153,9462,4,79.96875,2777.871,1740.5,2192.746,8
10392.223,1015.0,4.033613,9430,2,79.96875,2777.871,1739.516,2193.73,8
10392.23,1015.0,4.530201,9430,3,79.96875,2777.871,1738.086,2195.16,8
10392.242,1015.0,4.030227,9430,4,79.96875,2777.871,1737.875,2195.371,8
10392.242,1015.0,6.397306,9462,4,79.97656,2777.871,1739.68,2193.566,8
10392.242,1016.0,4.974705,9462,5,79.97656,2777.871,1739.543,2193.695,8
10392.266,1015.0,5.147679,9430,3,79.97656,2777.871,1739.332,2193.906,8
10495.062,1016.0,8.151261,9430,3,79.97656,2777.871,1742.945,2190.293,8
10392.266,1016.0,4.849498,9462,3,79.97656,2777.871,1743.484,2189.754,8
10394.051,1017.0,6.621961,9430,3,79.98438,2777.871,1740.586,2192.652,8
10392.328,1016.0,4.194631,9430,4,79.98438,2777.871,1739.129,2194.102,8
10394.051,1017.0,3.946264,9430,4,79.98438,2777.871,1739.406,2193.824,8
10392.207,1016.0,4.705882,9430,3,79.98438,2777.875,1738.422,2194.809,8
10392.219,1016.0,5.8873,9430,5,79.98438,2777.875,1739.242,2193.984,8
10392.219,1016.0,3.36984,9430,4,79.98438,2777.875,1741.566,2191.66,8
10392.23,1017.0,4.96633,9430,3,79.99219,2777.875,1740.055,2193.172,8
10392.23,1017.0,5.143339,9398,2,79.99219,2777.875,1742.695,2190.523,8
10392.23,1017.0,3.541315,9398,3,79.99219,2777.875,1743.484,2189.734,8
10392.262,1017.0,3.778338,9398,4,79.99219,2777.875,1741.398,2191.82,8
10393.027,1018.0,4.026846,9398,3,79.99219,2777.879,1740.883,2192.336,8
10393.969,1018.0,3.700589,9398,4,80.0,2777.879,1740.414,2192.801,8
10392.426,1018.0,4.12111,9398,3,80.0,2777.879,1738.844,2194.363,8
10394.277,1020.0,5.644482,9430,3,80.0,2777.879,1739.246,2193.961,8
10392.301,1018.0,4.769874,9430,2,80.0,2777.879,1740.516,2192.691,8
10645.168,1018.0,4.777871,9462,3,80.0,2777.879,1741.773,2191.434,8
10392.496,1018.0,4.033613,9494,4,80.00781,2777.879,1741.441,2191.766,8
10645.348,1020.0,5.205709,9462,3,80.00781,2777.879,1741.492,2191.707,8
10392.5,1017.0,3.538332,9462,4,80.00781,2777.879,1739.031,2194.168,8
10392.5,1017.0,6.124161,9462,4,80.00781,2777.879,1739.828,2193.371,8
10392.5,1017.0,5.369128,9430,4,80.00781,2777.879,1739.25,2193.949,8
10392.504,1016.0,4.457527,9430,4,80.00781,2777.879,1740.656,2192.543,8
10392.504,1016.0,4.457527,9430,3,80.01562,2777.879,1739.18,2194.02,8
10392.504,1016.0,6.307822,9430,4,80.01562,2777.879,1737.613,2195.578,8
10392.504,1016.0,3.697479,9430,3,80.01562,2777.879,1738.27,2194.922,8
10392.258,1016.0,6.850459,9430,3,80.01562,2777.879,1739.516,2193.676,8
10645.113,1016.0,4.271357,9366,6,80.01562,2777.879,1740.93,2192.262,8
10392.277,1015.0,7.575758,9430,4,80.02344,2777.879,1740.48,2192.711,8
10394.0,1016.0,3.872054,9462,4,80.02344,2777.879,1738.695,2194.488,8
10394.574,1015.0,4.040404,9462,4,80.02344,2777.879,1737.379,2195.805,8
10396.359,1016.0,3.535354,9462,4,80.02344,2777.879,1738.281,2194.902,8
10394.641,1015.0,3.956229,9462,3,80.02344,2777.879,1739.09,2194.094,8
10424.121,1015.0,4.878049,9462,3,80.02344,2777.883,1737.707,2195.477,8
10394.66,1014.0,3.53238,9462,4,80.03125,2777.883,1738.125,2195.055,8
10394.66,1014.0,3.613445,9430,4,80.03125,2777.883,1737.102,2196.07,8
10394.66,1014.0,3.787879,9494,3,80.03125,2777.883,1738.5,2194.672,8
10391.672,1014.0,5.210084,9462,2,80.03125,2777.883,1737.758,2195.414,8
10392.305,1014.0,5.121746,9462,3,80.03125,2777.883,1740.879,2192.293,8
10392.305,1014.0,6.386555,9462,2,80.03906,2777.883,1740.5,2192.672,8
10394.117,1015.0,8.557047,9462,3,80.03906,2777.883,1738.777,2194.387,8
10394.41,1014.0,9.571788,9462,3,80.03906,2777.883,1737.453,2195.711,8
10647.262,1015.0,6.291946,9462,4,80.03906,2777.883,1737.938,2195.227,8
10394.41,1014.0,4.187605,9462,3,80.03906,2777.883,1736.773,2196.391,8
10394.887,1015.0,6.649832,9494,4,80.04688,2777.883,1738.359,2194.805,8
10396.277,1016.0,7.407407,9526,5,80.04688,2777.883,1741.781,2191.375,8
10396.801,1015.0,4.526404,9462,4,80.04688,2777.883,1739.773,2193.383,8
10395.078,1014.0,3.691275,9462,3,80.0625,2777.883,1740.711,2192.445,8
10395.078,1014.0,4.541632,9462,4,80.0625,2777.883,1739.645,2193.496,8
10395.121,1014.0,4.453782,9462,3,80.0625,2777.883,1742.355,2190.785,8
10395.121,1014.0,4.135021,9462,3,80.0625,2777.883,1741.008,2192.133,8
10395.125,1014.0,3.781513,9462,3,80.0625,2777.883,1741.973,2191.168,8
10395.125,1014.0,3.60134,9462,3,80.07031,2777.883,1739.508,2193.633,8
10395.125,1014.0,3.936348,9462,3,80.07031,2777.883,1739.648,2193.484,8
10395.129,1014.0,5.704698,9462,3,80.07031,2777.883,1737.117,2196.016,8
10396.965,1016.0,5.798319,9462,3,80.07031,2777.883,1738.059,2195.074,8
10395.129,1015.0,6.722689,9462,4,80.07031,2777.883,1738.082,2195.051,8
10591.988,1015.0,4.12111,9494,4,80.07812,2777.883,1736.715,2196.418,8
10395.129,1015.0,3.875316,9494,4,80.07812,2777.883,1737.035,2196.09,8
10395.328,1016.0,3.959562,9494,4,80.07812,2777.883,1736.73,2196.395,8
10395.016,1015.0,3.933054,9494,4,80.07812,2777.883,1737.938,2195.188,8
10396.77,1016.0,3.285594,9494,3,80.07812,2777.883,1738.301,2194.824,8
10395.047,1015.0,3.52349,9494,4,80.08594,2777.887,1739.883,2193.242,8
10395.051,1015.0,3.956229,9494,4,80.08594,2777.992,1738.941,2194.172,8
10395.051,1015.0,3.94958,9430,4,80.08594,2777.992,1738.531,2194.477,8
10395.055,1015.0,6.795302,9398,4,80.08594,2777.992,1739.484,2193.523,8
10395.055,1015.0,5.042017,9398,3,80.08594,2777.992,1741.109,2191.898,8
10391.215,1015.0,4.117647,9398,4,80.08594,2777.992,1738.402,2194.605,8
10391.215,1015.0,4.103853,9398,4,80.09375,2777.992,1738.18,2194.828,8
10391.215,1015.0,4.355109,9398,5,80.09375,2777.992,1741.289,2191.711,8
10392.871,1016.0,5.11745,9398,3,80.09375,2777.992,1741.84,2191.16,8
10391.184,1015.0,4.697987,9398,4,80.09375,2777.992,1743.43,2189.57,8
10393.035,1016.0,6.638655,9430,16,80.09375,2777.992,1742.496,2190.504,8
10391.219,1015.0,8.417508,9430,16,80.09375,2777.992,1739.953,2193.047,8
10641.082,1015.0,4.187605,9430,18,80.10156,2777.992,1738.008,2194.992,8
10391.219,1015.0,3.952902,9398,13,80.10938,2777.996,1738.137,2194.855,8
10391.695,1016.0,4.030227,9398,17,80.10938,2777.996,1739.023,2193.957,8
10391.219,1015.0,3.700589,9430,16,80.10938,2777.996,1739.035,2193.945,8
10391.219,1015.0,3.868797,9430,16,80.10938,2777.996,1740.094,2192.887,8
10391.219,1015.0,4.511278,9430,15,80.10938,2777.996,1739.355,2193.625,8
10391.219,1015.0,4.282116,9430,16,80.11719,2777.996,1739.34,2193.641,8
10391.223,1015.0,3.85906,9430,15,80.11719,2777.996,1738.977,2193.996,8
